CODIGO,FECHA,DIA_SEMANA,INGRESO,SALIDA,HORAS_LABORADAS
1688,2023-01-09,Monday,,,FALTA/NO CHECO
1688,2023-01-10,Tuesday,,,FALTA/NO CHECO
1688,2023-01-11,Wednesday,,,FALTA/NO CHECO
1688,2023-01-12,Thursday,,,FALTA/NO CHECO
1688,2023-01-13,Friday,,,FALTA/NO CHECO
1869,2023-01-09,Monday,,,FALTA/NO CHECO
1869,2023-01-10,Tuesday,,,FALTA/NO CHECO
1869,2023-01-11,Wednesday,,,FALTA/NO CHECO
1869,2023-01-12,Thursday,,,FALTA/NO CHECO
1869,2023-01-13,Friday,,,FALTA/NO CHECO
1990,2023-01-09,Monday,,,FALTA/NO CHECO
1990,2023-01-10,Tuesday,,,FALTA/NO CHECO
1990,2023-01-11,Wednesday,,,FALTA/NO CHECO
1990,2023-01-12,Thursday,,,FALTA/NO CHECO
1990,2023-01-13,Friday,,,FALTA/NO CHECO
2001,2023-01-09,Monday,1900-01-01 11:05:00,,FALTA/NO CHECO
2001,2023-01-10,Tuesday,,,FALTA/NO CHECO
2001,2023-01-11,Wednesday,,,FALTA/NO CHECO
2001,2023-01-12,Thursday,1900-01-01 10:55:00,,FALTA/NO CHECO
2001,2023-01-13,Friday,,,FALTA/NO CHECO
2109,2023-01-09,Monday,,,FALTA/NO CHECO
2109,2023-01-10,Tuesday,,,FALTA/NO CHECO
2109,2023-01-11,Wednesday,,,FALTA/NO CHECO
2109,2023-01-12,Thursday,,,FALTA/NO CHECO
2109,2023-01-13,Friday,,,FALTA/NO CHECO
2229,2023-01-09,Monday,,,FALTA/NO CHECO
2229,2023-01-10,Tuesday,,,FALTA/NO CHECO
2229,2023-01-11,Wednesday,,,FALTA/NO CHECO
2229,2023-01-12,Thursday,,,FALTA/NO CHECO
2229,2023-01-13,Friday,,,FALTA/NO CHECO
2258,2023-01-09,Monday,,,FALTA/NO CHECO
2258,2023-01-10,Tuesday,,,FALTA/NO CHECO
2258,2023-01-11,Wednesday,,,FALTA/NO CHECO
2258,2023-01-12,Thursday,,,FALTA/NO CHECO
2258,2023-01-13,Friday,,,FALTA/NO CHECO
2282,2023-01-09,Monday,,,FALTA/NO CHECO
2282,2023-01-10,Tuesday,,,FALTA/NO CHECO
2282,2023-01-11,Wednesday,,,FALTA/NO CHECO
2282,2023-01-12,Thursday,,,FALTA/NO CHECO
2282,2023-01-13,Friday,,,FALTA/NO CHECO
2299,2023-01-09,Monday,1900-01-01 09:03:00,1900-01-01 09:03:00,0.0
2299,2023-01-10,Tuesday,1900-01-01 08:37:00,,FALTA/NO CHECO
2299,2023-01-11,Wednesday,1900-01-01 09:03:00,1900-01-01 09:03:00,0.0
2299,2023-01-12,Thursday,1900-01-01 08:49:00,,FALTA/NO CHECO
2299,2023-01-13,Friday,1900-01-01 08:46:00,,FALTA/NO CHECO
2316,2023-01-09,Monday,1900-01-01 08:57:00,,FALTA/NO CHECO
2316,2023-01-10,Tuesday,1900-01-01 09:17:00,,FALTA/NO CHECO
2316,2023-01-11,Wednesday,1900-01-01 09:14:00,,FALTA/NO CHECO
2316,2023-01-12,Thursday,1900-01-01 09:13:00,,FALTA/NO CHECO
2316,2023-01-13,Friday,1900-01-01 09:06:00,,FALTA/NO CHECO
2373,2023-01-09,Monday,,,FALTA/NO CHECO
2373,2023-01-10,Tuesday,,,FALTA/NO CHECO
2373,2023-01-11,Wednesday,,,FALTA/NO CHECO
2373,2023-01-12,Thursday,,,FALTA/NO CHECO
2373,2023-01-13,Friday,,,FALTA/NO CHECO
2376,2023-01-09,Monday,,,FALTA/NO CHECO
2376,2023-01-10,Tuesday,,,FALTA/NO CHECO
2376,2023-01-11,Wednesday,,,FALTA/NO CHECO
2376,2023-01-12,Thursday,,,FALTA/NO CHECO
2376,2023-01-13,Friday,,,FALTA/NO CHECO
2405,2023-01-09,Monday,,,FALTA/NO CHECO
2405,2023-01-10,Tuesday,,,FALTA/NO CHECO
2405,2023-01-11,Wednesday,,,FALTA/NO CHECO
2405,2023-01-12,Thursday,,,FALTA/NO CHECO
2405,2023-01-13,Friday,,,FALTA/NO CHECO
2446,2023-01-09,Monday,1900-01-01 09:39:00,,FALTA/NO CHECO
2446,2023-01-10,Tuesday,1900-01-01 09:25:00,,FALTA/NO CHECO
2446,2023-01-11,Wednesday,1900-01-01 09:22:00,1900-01-01 09:22:00,0.0
2446,2023-01-12,Thursday,1900-01-01 09:21:00,1900-01-01 09:21:00,0.0
2446,2023-01-13,Friday,1900-01-01 09:14:00,,FALTA/NO CHECO
2515,2023-01-09,Monday,1900-01-01 09:45:00,,FALTA/NO CHECO
2515,2023-01-10,Tuesday,,,FALTA/NO CHECO
2515,2023-01-11,Wednesday,,1900-01-01 17:45:00,FALTA/NO CHECO
2515,2023-01-12,Thursday,1900-01-01 09:37:00,,FALTA/NO CHECO
2515,2023-01-13,Friday,1900-01-01 09:30:00,,FALTA/NO CHECO
2555,2023-01-09,Monday,,,FALTA/NO CHECO
2555,2023-01-10,Tuesday,,,FALTA/NO CHECO
2555,2023-01-11,Wednesday,,,FALTA/NO CHECO
2555,2023-01-12,Thursday,,,FALTA/NO CHECO
2555,2023-01-13,Friday,,,FALTA/NO CHECO
2629,2023-01-09,Monday,,,FALTA/NO CHECO
2629,2023-01-10,Tuesday,,,FALTA/NO CHECO
2629,2023-01-11,Wednesday,,,FALTA/NO CHECO
2629,2023-01-12,Thursday,,,FALTA/NO CHECO
2629,2023-01-13,Friday,,,FALTA/NO CHECO
2637,2023-01-09,Monday,,,FALTA/NO CHECO
2637,2023-01-10,Tuesday,,,FALTA/NO CHECO
2637,2023-01-11,Wednesday,,,FALTA/NO CHECO
2637,2023-01-12,Thursday,,,FALTA/NO CHECO
2637,2023-01-13,Friday,,,FALTA/NO CHECO
2703,2023-01-09,Monday,1900-01-01 08:40:00,,FALTA/NO CHECO
2703,2023-01-10,Tuesday,1900-01-01 09:08:00,1900-01-01 18:03:00,8.916666666666666
2703,2023-01-12,Thursday,1900-01-01 09:08:00,1900-01-01 18:44:00,9.6
2733,2023-01-09,Monday,,,FALTA/NO CHECO
2733,2023-01-10,Tuesday,,,FALTA/NO CHECO
2733,2023-01-11,Wednesday,,,FALTA/NO CHECO
2733,2023-01-12,Thursday,,,FALTA/NO CHECO
2733,2023-01-13,Friday,,,FALTA/NO CHECO
2779,2023-01-09,Monday,,,FALTA/NO CHECO
2779,2023-01-10,Tuesday,,,FALTA/NO CHECO
2779,2023-01-11,Wednesday,,,FALTA/NO CHECO
2779,2023-01-12,Thursday,,,FALTA/NO CHECO
2779,2023-01-13,Friday,,,FALTA/NO CHECO
2798,2023-01-09,Monday,1900-01-01 08:41:00,,FALTA/NO CHECO
2798,2023-01-10,Tuesday,1900-01-01 09:08:00,1900-01-01 18:03:00,8.916666666666666
2798,2023-01-12,Thursday,1900-01-01 09:07:00,1900-01-01 18:44:00,9.616666666666667
2809,2023-01-09,Monday,,,FALTA/NO CHECO
2809,2023-01-10,Tuesday,,,FALTA/NO CHECO
2809,2023-01-11,Wednesday,,,FALTA/NO CHECO
2809,2023-01-12,Thursday,,,FALTA/NO CHECO
2809,2023-01-13,Friday,,,FALTA/NO CHECO
2819,2023-01-09,Monday,,,FALTA/NO CHECO
2819,2023-01-10,Tuesday,,,FALTA/NO CHECO
2819,2023-01-11,Wednesday,,,FALTA/NO CHECO
2819,2023-01-12,Thursday,,,FALTA/NO CHECO
2819,2023-01-13,Friday,,,FALTA/NO CHECO
2835,2023-01-09,Monday,1900-01-01 10:16:00,,FALTA/NO CHECO
2835,2023-01-10,Tuesday,1900-01-01 09:25:00,,FALTA/NO CHECO
2835,2023-01-11,Wednesday,,,FALTA/NO CHECO
2835,2023-01-12,Thursday,1900-01-01 09:11:00,,FALTA/NO CHECO
2835,2023-01-13,Friday,,,FALTA/NO CHECO
2874,2023-01-09,Monday,,,FALTA/NO CHECO
2874,2023-01-10,Tuesday,,,FALTA/NO CHECO
2874,2023-01-11,Wednesday,,,FALTA/NO CHECO
2874,2023-01-12,Thursday,,,FALTA/NO CHECO
2874,2023-01-13,Friday,,,FALTA/NO CHECO
2952,2023-01-09,Monday,,,FALTA/NO CHECO
2952,2023-01-10,Tuesday,,,FALTA/NO CHECO
2952,2023-01-11,Wednesday,,,FALTA/NO CHECO
2952,2023-01-12,Thursday,,,FALTA/NO CHECO
2952,2023-01-13,Friday,,,FALTA/NO CHECO
2958,2023-01-09,Monday,,,FALTA/NO CHECO
2958,2023-01-10,Tuesday,,,FALTA/NO CHECO
2958,2023-01-11,Wednesday,,,FALTA/NO CHECO
2958,2023-01-12,Thursday,,,FALTA/NO CHECO
2958,2023-01-13,Friday,,,FALTA/NO CHECO
2970,2023-01-09,Monday,,,FALTA/NO CHECO
2970,2023-01-10,Tuesday,,,FALTA/NO CHECO
2970,2023-01-11,Wednesday,,,FALTA/NO CHECO
2970,2023-01-12,Thursday,,,FALTA/NO CHECO
2970,2023-01-13,Friday,,,FALTA/NO CHECO
3066,2023-01-09,Monday,,,FALTA/NO CHECO
3066,2023-01-10,Tuesday,,,FALTA/NO CHECO
3066,2023-01-11,Wednesday,,,FALTA/NO CHECO
3066,2023-01-12,Thursday,,,FALTA/NO CHECO
3066,2023-01-13,Friday,,,FALTA/NO CHECO
3151,2023-01-09,Monday,,,FALTA/NO CHECO
